symbol	P5482_SR_01	P5482_SR_02	P5482_SR_05	P5482_SR_06	P5482_SR_08	P5482_SR_09	P5482_SR_10	P5482_SR_11	P5482_SR_12	P5482_SR_13	P5482_SR_14	P5482_SR_15
Gm20713	0	0	0	0	0	0	0	0	0	0	0	0
Gm20714	0	0	0	0	0	0	0	0	0	0	0	0
Gm20715	0	0	3	0	0	0	2	0	1	2	0	2
Gm20716	0	7	0	0	5	0	0	0	0	1	1	2
Gm20717	21	11	20	28	24	37	36	22	15	24	29	29
Gm20718	0	0	0	0	0	0	0	0	0	1	0	0
Gm20721	0	4	10	0	17	0	10	0	26	17	22	9
Gm20730	0	0	0	0	0	1	0	0	0	0	0	1
Gm20731	5	8	20	0	14	3	14	7	28	27	38	30
Gm20732	2	0	1	0	8	0	5	1	1	6	1	3
Gm20734	0	0	0	0	0	0	0	0	0	0	0	0
Gm20735	113	175	101	153	136	57	111	123	121	294	136	218
Gm20736	0	0	0	0	0	0	0	0	0	0	0	0
Gm20737	0	0	0	0	0	0	0	0	0	0	0	0
Gm20738	0	0	0	0	0	0	0	0	0	0	0	0
Gm20741	0	0	0	0	0	0	0	0	0	0	5	0
Gm20742	1	0	0	0	0	9	0	0	1	4	0	0
Gm20743	7	0	0	0	0	0	0	0	0	1	1	2
Gm20744	0	0	0	0	0	2	0	0	1	0	3	0
Gm20745	0	0	0	0	0	0	0	0	4	3	0	3
Gm20747	0	0	0	0	0	0	0	0	0	0	0	0
Gm20749	0	0	0	0	0	0	0	0	0	0	0	0
Gm2075	0	0	0	0	0	0	0	0	0	0	0	0
Gm20750	0	0	0	0	0	0	0	0	0	0	0	0
Gm20751	4	0	0	0	0	0	2	0	0	0	0	0
Gm20752	0	0	0	0	0	0	0	0	0	2	0	0
Gm20753	18	10	2	0	7	0	4	14	7	9	4	6
Gm20754	0	0	0	0	0	0	0	0	0	0	0	0
Gm20755	0	0	0	0	0	0	0	0	0	1	0	0
Gm20756	3	3	6	0	3	0	12	3	11	4	5	3
Gm20757	0	0	0	0	0	0	0	0	0	0	0	0
Gm20758	0	0	0	0	0	0	1	0	0	0	1	0
Gm2076	0	1	11	0	5	0	1	0	10	0	6	5
Gm20760	1	1	4	3	4	5	3	2	3	19	9	7
Gm20762	115	43	61	21	32	101	57	50	29	65	84	39
Gm20763	3	1	1	0	0	2	1	0	1	1	1	1
Gm20765	0	0	0	0	0	0	0	0	0	0	0	0
Gm20767	0	0	5	0	0	0	0	0	0	1	0	2
Gm20768	122	117	131	99	129	74	121	65	81	132	132	160
Gm20769	0	1	1	0	0	6	5	1	4	0	2	4
Gm2077	2	1	0	2	0	0	0	3	6	9	2	4
Gm20770	0	0	0	0	0	0	0	0	0	0	0	0
Gm20772	0	0	0	0	0	0	0	0	0	0	0	0
Gm20773	0	0	0	0	0	0	0	0	0	0	0	0
Gm20775	24	25	19	17	13	25	32	9	20	35	27	29
Gm20776	0	0	0	0	0	0	0	0	0	0	0	0
Gm20777	0	0	0	0	0	0	0	0	0	0	0	0
Gm20778	0	0	0	0	0	0	0	0	0	0	0	0
Gm20781	0	0	0	0	0	0	0	0	0	0	0	0
Gm20784	3	5	6	21	10	19	11	2	7	22	14	8
Gm20786	0	0	0	0	0	0	0	0	0	0	0	0
Gm20788	0	0	0	0	0	0	0	0	0	0	0	0
Gm20789	2	0	0	0	0	0	2	0	2	0	0	0
Gm20791	0	0	0	0	0	0	0	0	0	0	0	0
Gm20792	0	0	0	0	0	0	0	0	0	0	0	0
Gm20793	0	0	0	0	0	0	0	0	0	0	0	0
Gm20794	0	0	0	0	0	0	0	0	0	0	0	0
Gm20795	0	0	0	0	0	0	0	0	0	0	0	0
Gm20796	2	11	4	3	6	0	10	6	8	21	10	11
Gm20797	0	0	0	0	1	0	0	0	0	0	0	1
Gm20798	0	0	0	0	0	0	0	0	0	0	0	0
Gm20799	0	0	0	0	0	0	0	0	0	0	0	0
Gm2080	0	0	0	0	0	0	0	0	0	0	0	1
Gm20800	0	0	0	0	0	0	0	0	0	0	0	0
Gm20801	0	0	0	0	0	0	0	0	0	0	0	0
Gm20802	0	0	0	0	0	0	0	0	0	0	0	0
Gm20803	0	0	0	0	0	0	0	0	0	0	0	0
Gm20804	0	0	0	0	0	0	0	0	0	0	0	0
Gm20805	0	0	0	0	0	0	0	0	0	0	0	0
Gm20806	0	0	0	0	0	0	0	0	0	0	0	0
Gm20807	0	0	0	0	0	0	0	0	0	0	0	0
Gm20808	0	0	0	0	0	0	0	0	0	0	0	0
Gm20809	0	0	0	0	0	0	0	0	0	0	0	0
Gm20810	0	0	0	0	0	0	0	0	0	0	0	0
Gm20811	0	0	0	0	0	0	0	0	0	0	0	0
Gm20812	0	0	0	0	0	0	0	0	0	0	0	0
Gm20813	0	0	0	0	0	0	0	0	0	0	0	0
Gm20814	0	0	0	0	0	0	0	0	0	0	0	0
Gm20815	0	0	0	0	0	0	0	0	0	0	0	0
Gm20816	0	0	0	0	0	0	0	0	0	0	0	0
Gm20817	0	0	0	0	0	0	0	0	0	0	0	0
Gm20818	0	0	0	0	0	0	0	0	0	0	0	0
Gm20819	0	0	0	0	0	0	0	0	0	0	0	0
Gm20820	0	0	0	0	0	0	0	0	0	0	0	0
Gm20821	0	0	0	0	0	0	0	0	0	0	0	0
Gm20822	0	0	0	0	0	0	0	0	0	0	0	0
Gm20823	0	0	0	0	0	0	0	0	0	0	0	0
Gm20824	0	0	0	0	0	0	0	0	0	0	0	0
Gm20825	0	0	0	0	0	0	0	0	0	0	0	0
Gm20826	0	4	0	0	1	0	4	1	0	1	5	1
Gm20827	0	0	0	0	0	0	0	0	0	0	0	0
Gm20828	0	0	0	0	0	0	0	0	0	0	0	0
Gm20830	0	0	0	0	0	0	0	0	0	0	0	0
Gm20831	0	0	0	0	0	0	0	0	0	0	0	0
Gm20832	0	0	0	0	0	0	0	0	0	0	0	0
Gm20833	0	0	0	0	0	0	0	0	0	0	0	0
Gm20834	0	0	0	0	0	0	0	0	0	0	0	0
Gm20835	0	0	0	0	0	0	0	0	0	0	0	0
Gm20836	0	0	0	0	0	0	0	0	0	0	0	0
Gm20837	0	0	0	0	0	0	0	0	0	0	0	0
Gm20838	0	0	0	0	0	0	0	0	0	0	0	0
Gm20840	0	0	0	0	0	0	0	0	0	0	0	0
Gm20841	0	0	0	0	0	0	0	0	0	0	0	0
